loan_id,customer_id,book_id,loan_date,due_date,return_date
5197,103,1,2020-01-09,2020-01-23,2020-01-15
5888,1949,13,2021-04-14,2021-05-05,2021-05-05
2502,662,128,2024-08-18,2024-09-01,2024-08-20
3912,2469,1,2022-08-21,2022-09-04,2022-09-10
255,2179,5,2024-07-13,2024-07-27,2024-08-27
9535,731,2,2024-05-17,2024-05-31,2024-05-19
4532,128,2,2021-01-20,2021-02-10,2021-01-21
3255,284,1,2024-05-04,2024-05-18,2024-05-22
5620,1758,3,2024-10-15,2024-10-29,2024-10-22
7630,2152,2,2024-02-24,2024-03-09,2024-03-09
433,1891,1,2020-09-08,2020-09-22,
5416,1163,184,2024-12-10,2024-12-24,
9551,2268,1,2020-08-10,2020-08-24,2020-08-23
8706,2113,2,2024-09-19,2024-10-03,2024-10-02
3440,677,2,2024-05-17,2024-05-31,2024-06-05
7587,2636,1,2024-06-15,2024-06-29,2024-06-20
8630,454,2,2023-11-27,2023-12-18,2023-11-30
1727,306,1,2024-10-06,2024-10-20,2024-10-16
3714,1441,14,2024-10-18,2024-11-01,2024-11-01
1381,1755,1,2022-04-28,2022-05-19,
775,559,1,2021-08-02,2021-08-16,2021-08-16
7532,1255,1,2024-12-21,2025-01-04,
5367,750,1,2021-06-20,2021-07-04,2021-06-29
1026,2474,1,2023-03-11,2023-03-25,2023-03-30
7051,860,5,2022-09-09,2022-09-23,2022-09-20
5149,623,5,2024-03-28,2024-04-11,2024-04-17
3482,2194,5,2024-07-23,2024-08-06,2024-08-03
4721,2325,12,2024-09-12,2024-09-26,2024-09-17
915,1092,2,2021-09-13,2021-09-27,2021-09-19
900,61,15,2023-01-11,2023-01-25,2023-01-14
6895,1357,3,2024-08-01,2024-08-15,2024-08-20
7533,1105,2,2023-11-07,2023-11-28,2023-11-24
8399,59,10,2024-07-21,2024-08-04,2024-07-31
9584,2533,7,2024-11-15,2024-11-29,2024-11-17
5503,517,2,2020-06-22,2020-07-06,2020-07-02
4245,1400,1,2024-10-26,2024-11-09,2024-11-10
4775,1865,40,2024-05-03,2024-05-17,2024-05-19
4287,877,4,2024-07-26,2024-08-09,2024-09-12
8530,2143,1,2022-09-27,2022-10-11,2022-10-11
3672,1988,1,2021-10-18,2021-11-08,2021-11-05
7724,2119,10,2023-06-23,2023-07-07,2023-07-05
380,1427,32,2024-08-18,2024-09-01,2024-08-26
2033,295,17,2021-10-01,2021-10-15,2021-10-10
1742,800,1,2022-09-01,2022-09-15,2022-09-07
5236,2677,1,2024-02-07,2024-02-21,
3105,632,2,2023-09-12,2023-10-03,2023-10-05
5615,846,7,2023-09-27,2023-10-11,
8974,1400,1,2024-09-09,2024-09-23,
4058,1878,13,2024-11-08,2024-11-29,2024-11-26
4422,2115,1,2024-05-25,2024-06-08,2024-06-13
6289,1814,1,2024-10-25,2024-11-08,2024-10-31
9492,1452,83,2021-10-23,2021-11-06,2021-11-04
5177,684,2,2024-05-31,2024-06-14,2024-06-03
1468,856,4,2024-06-20,2024-07-04,2024-06-23
7373,629,1,2022-10-03,2022-10-17,2022-10-08
4160,2197,2,2022-03-10,2022-03-24,2022-03-20
8946,672,2,2023-10-09,2023-10-23,2023-10-27
4864,2268,3,2020-12-13,2020-12-07,2021-01-07
8769,1279,69,2024-10-10,2024-10-31,2024-10-24
3455,2061,2,2024-07-16,2024-07-30,2024-08-06
4696,392,4,2023-07-05,2023-07-19,
5543,2182,59,2024-10-04,2024-10-25,2024-10-07
6866,2776,1,2024-07-09,2024-07-23,2024-07-19
4272,1472,5,2024-12-12,2024-12-26,
1448,147,4,2023-03-08,2023-03-22,2023-03-12
8330,1920,16,2021-03-01,2021-03-15,2021-03-21
258,661,2,2024-06-29,2024-07-13,2024-07-21
7029,1397,2,2023-11-24,2023-12-08,2023-12-16
651,1808,1,2023-11-30,2023-12-14,
8774,1109,1,2022-12-26,2023-01-09,2023-01-09
3253,2267,2,2024-08-19,2024-09-02,2024-08-28
9122,1240,4,2024-03-29,2024-04-12,2024-04-04
1965,825,1,2024-03-25,2024-04-08,2024-03-31
3516,1785,4,2024-11-03,2024-11-17,2024-11-05
1981,774,1,2023-12-08,2023-12-22,2023-12-17
8600,2253,3,2024-02-13,2024-02-27,2024-02-14
8597,2479,1,2024-02-07,2024-02-21,
1447,1477,6,2024-10-12,2024-10-26,2024-10-22
3148,351,22,2023-12-19,2024-01-02,2023-12-27
8744,2649,1,2024-03-14,2024-03-28,2024-04-04
1379,1223,5,2023-03-18,2023-04-01,2023-03-22
4028,2388,3,2024-04-09,2024-04-23,2024-04-16
6741,380,4,2023-09-17,2023-10-08,2023-10-06
9043,1108,1,2022-11-22,2022-12-06,2022-12-19
8159,669,1,2024-12-17,2024-12-31,
3161,247,1,2022-11-19,2022-12-03,2022-12-06
9013,2518,5,2024-03-28,2024-04-11,2024-04-07
8428,1238,5,2020-12-23,2021-01-06,2020-12-27
2087,586,1,2022-02-21,2022-03-07,2022-03-03
8606,2442,1,2024-05-14,2024-05-28,2024-05-24
7851,1627,30,2022-06-07,2022-06-28,2022-06-18
7758,1087,6,2024-12-15,2024-12-29,
