order_id,customer_id,book_id,order_date,quantity,status
23926,949,4,2023-02-06,1,DELIVERED
22639,1506,2,2024-08-16,1,DELIVERED
3496,2507,1,2024-11-29,10,DELIVERED
26771,366,1,2020-07-18,1,DELIVERED
1335,2684,12,2023-10-19,1,DELIVERED
14720,2589,7,2024-12-30,1,PENDING
7399,932,2,2024-08-02,2,DELIVERED
22052,313,1,2022-10-03,1,DELIVERED
21188,627,2,2020-07-28,6,DELIVERED
18932,570,1,2022-05-13,2,DELIVERED
6293,123,1,2024-05-03,1,DELIVERED
6218,2176,1,2024-06-03,1,DELIVERED
11031,2337,38,2024-05-26,3,DELIVERED
25881,734,1,2024-05-28,8,DELIVERED
20830,1945,1,2024-06-16,10,DELIVERED
10031,1418,1,2023-06-29,1,DELIVERED
153,2225,1,2023-07-21,2,CANCELLED
3442,2067,10,2021-10-30,2,DELIVERED
9487,2725,3,2020-09-25,1,DELIVERED
16796,132,1,2024-10-25,0,SHIPPED
10672,1870,46,2020-11-07,1,DELIVERED
26758,949,5,2022-02-19,3,SHIPPED
2304,219,4,2021-10-09,1,DELIVERED
8350,1753,1,2021-06-13,1,DELIVERED
17730,2663,1,2024-11-14,2,DELIVERED
6702,529,2,2024-05-05,1,DELIVERED
21549,1460,26,2020-08-02,5,SHIPPED
25334,2017,8888,2024-02-26,1,DELIVERED
26634,1979,29,2021-10-05,1,DELIVERED
7565,1796,1,2024-05-06,5,DELIVERED
14485,62,2,2024-12-28,1,PENDING
4034,297,4,2024-02-16,2,DELIVERED
27984,1804,3,2020-09-21,1,CANCELLED
4405,446,3,2024-05-25,1,DELIVERED
8221,1758,37,2024-11-18,2,DELIVERED
24713,1850,1,2023-01-16,1,PROCESSING
23474,617,3,2024-09-25,1,DELIVERED
22137,1973,36,2024-05-20,4,SHIPPED
13212,1756,8,2023-05-07,6,DELIVERED
5024,1835,7,2023-07-07,1,DELIVERED
21425,2574,1,2024-05-13,1,DELIVERED
13858,1411,4,2022-10-07,1,SHIPPED
27538,2669,7,2021-09-24,1,DELIVERED
15823,2646,3,2023-11-26,1,DELIVERED
18791,557,3,2023-12-01,2,DELIVERED
2858,1506,2,2024-10-29,4,DELIVERED
3082,845,1,2021-12-07,2,DELIVERED
12701,980,4,2024-08-14,1,CANCELLED
5563,1908,1,2022-08-15,1,DELIVERED
8031,1971,1,2024-02-27,1,DELIVERED
4789,2476,1,2024-09-12,1,DELIVERED
5276,519,7,2023-06-02,1,DELIVERED
8173,2322,8888,2022-07-20,1,DELIVERED
3046,277,5,2023-08-10,1,DELIVERED
25778,296,4,2024-02-05,1,DELIVERED
3322,1658,1,2022-11-27,1,DELIVERED
450,896,1,2024-10-17,2,DELIVERED
4167,2070,1,2024-11-28,2,DELIVERED
15832,1006,1,2024-09-16,1,DELIVERED
20564,2182,3,2023-08-10,1,DELIVERED
2331,1219,1,2021-06-24,2,DELIVERED
18360,929,6,2024-06-06,1,SHIPPED
21257,2416,16,2024-10-29,1,CANCELLED
16847,770,1,2021-07-04,1,DELIVERED
1065,1337,1,2024-04-23,1,CANCELLED
20052,1200,5,2023-11-14,1,DELIVERED
5072,479,1,2023-02-23,1,DELIVERED
20174,515,1,2022-05-27,8,DELIVERED
19343,702,1,2024-12-10,1,DELIVERED
17827,4,14,2021-06-05,1,DELIVERED
3121,207,2,2024-11-07,1,DELIVERED
8427,1918,4,2024-07-28,2,DELIVERED
986,2569,2,2024-10-23,1,DELIVERED
25149,190,13,2021-03-03,1,DELIVERED
11307,2222,2,2020-12-30,2,DELIVERED
17737,111,38,2024-05-16,1,DELIVERED
23120,2401,1,2023-12-23,1,DELIVERED
19857,1841,1,2022-07-13,1,DELIVERED
2741,2357,6,2023-08-13,6,CANCELLED
11563,2120,31,2024-05-04,10,DELIVERED
8202,2310,3,2021-04-03,1,DELIVERED
22961,2207,1,2024-04-13,1,DELIVERED
20147,1158,1,2023-03-13,2,DELIVERED
20465,2685,1,2022-11-12,1,DELIVERED
15351,2578,26,2023-08-29,1,DELIVERED
11766,816,2,2022-08-06,3,DELIVERED
14061,1696,2,2023-10-27,1,DELIVERED
13039,991,1,2021-03-04,4,SHIPPED
79,1301,1,2024-04-13,1,PENDING
13134,2637,1,2024-02-07,1,DELIVERED
20920,535,10,2024-12-20,1,DELIVERED
16550,483,3,2023-11-11,1,DELIVERED
22754,1654,1,2021-10-21,1,DELIVERED
7860,2189,1,2022-11-29,1,CANCELLED
6543,123,1,2023-12-21,2,DELIVERED
16258,1932,2,2023-10-24,2,DELIVERED
10971,2573,5,2020-08-06,1,CANCELLED
21902,1772,1,2024-10-10,2,DELIVERED
9442,2795,3,2020-06-13,1,DELIVERED
24794,2036,22,2023-11-22,1,DELIVERED
17192,1616,30,2023-10-28,1,DELIVERED
21592,542,1,2024-08-10,4,SHIPPED
12627,2464,177,2022-03-08,2,DELIVERED
818,1391,2,2024-01-17,1,DELIVERED
16829,936,1,2024-09-13,1,DELIVERED
12831,1823,3,2024-10-22,4,DELIVERED
