review_id,customer_id,book_id,rating,review_text,created_at
1412,2568,5,2,Overrated. I did not enjoy the characters at all.,2024-07-08 10:42:10
2964,2333,3,4,"Good book, though the ending felt a little rushed.",2024-12-01 09:13:58
3657,1499,7,4,Enjoyed it quite a bit. Solid writing and interesting ideas.,2022-03-05 11:40:17
4996,1916,1,4,"Good book, though the ending felt a little rushed.",2021-05-28 17:06:29
3919,992,31,4,"Good book, though the ending felt a little rushed.",2024-09-19 18:51:54
4676,1107,1,3,Neither great nor terrible. Passes the time.,2022-01-09 20:14:50
5289,165,6,4,Mostly great. The middle section drags a bit.,2024-10-30 17:43:35
2642,2470,12,4,"Good book, though the ending felt a little rushed.",2021-06-19 16:36:09
4608,1596,1,4,Well-written and engaging. A few plot holes but forgivable.,2023-02-26 15:14:08
5475,1062,23,5,I finished this in two sittings. Absolutely riveting.,2024-02-04 18:57:53
525,1940,1,5,The writing is exceptional and the story gripped me from page one.,2022-12-05 15:40:34
3097,2002,2,4,Above average. Would recommend to fans of the genre.,2023-02-28 09:42:28
2665,2095,5,5,Exceeded all my expectations. Truly extraordinary.,2023-07-07 23:04:37
2009,2621,2,4,Enjoyed it quite a bit. Solid writing and interesting ideas.,2022-07-22 10:54:15
613,2663,1,3,It was okay. The hype around this book is a bit overstated.,2024-12-31 07:24:19
2257,2485,2,4,Well-written and engaging. A few plot holes but forgivable.,2024-02-13 21:14:01
5433,2330,4,3,,2023-10-19 16:02:38
2533,1710,2,5,Perfect blend of story and insight. Will read again.,2023-01-30 18:52:11
2981,442,2,4,Liked it. The first half is stronger than the second.,2024-12-09 16:39:29
883,1988,3,3,Decent read. Not my favourite but not bad either.,2022-11-01 04:42:23
5232,1042,3,3,Had potential but did not quite deliver on its promise.,2024-09-04 23:17:18
3196,29,8,2,Struggled to get through it. The story meanders endlessly.,2024-04-29 22:35:10
174,771,1,4,Enjoyed it quite a bit. Solid writing and interesting ideas.,2022-09-25 08:13:59
4435,1409,1,5,The writing is exceptional and the story gripped me from page one.,2024-02-13 06:13:00
2067,2487,15,3,It was okay. The hype around this book is a bit overstated.,2020-10-12 20:48:02
245,1694,5,3,Decent read. Not my favourite but not bad either.,2021-10-14 17:58:10
3637,136,1,4,Above average. Would recommend to fans of the genre.,2022-10-22 07:10:08
506,2034,1,3,Neither great nor terrible. Passes the time.,2020-04-13 06:52:21
930,2094,2,4,A very good read overall. Some chapters were slow but worth it.,2023-06-23 09:09:36
1827,2129,1,4,A very good read overall. Some chapters were slow but worth it.,2024-03-18 21:08:39
807,1233,3,3,"Some interesting parts, but overall felt underwhelming.",2023-11-21 22:36:10
3890,1513,1,4,Well-written and engaging. A few plot holes but forgivable.,2020-10-27 18:17:57
89,2406,1,3,Had potential but did not quite deliver on its promise.,2022-09-08 11:35:22
972,96,22,3,"Some interesting parts, but overall felt underwhelming.",2023-05-25 14:03:49
1707,1973,2,4,Pleasant read. Nothing groundbreaking but definitely enjoyable.,2024-09-28 12:23:15
287,1969,2,4,Well-written and engaging. A few plot holes but forgivable.,2024-01-01 16:44:38
69,598,1,4,Liked it. The first half is stronger than the second.,2024-01-19 07:48:26
3519,282,44,5,,2020-06-23 21:39:31
1140,772,8,4,Enjoyed it quite a bit. Solid writing and interesting ideas.,2022-10-19 17:06:11
3680,1252,3,3,"Some interesting parts, but overall felt underwhelming.",2024-08-18 20:01:54
1270,1460,1,2,Not for me. The writing style felt very dated.,2024-05-04 05:24:16
4784,1029,1,5,The writing is exceptional and the story gripped me from page one.,2024-08-17 17:30:25
2705,9,1,3,Decent read. Not my favourite but not bad either.,2021-06-10 19:49:11
4554,1435,46,3,Decent read. Not my favourite but not bad either.,2023-04-04 17:15:47
1450,52,2,4,,2022-03-12 06:29:06
3577,1778,37,4,Above average. Would recommend to fans of the genre.,2024-11-29 13:53:00
3951,943,114,3,,2022-07-02 07:32:53
4310,462,14,4,Mostly great. The middle section drags a bit.,2024-12-28 08:26:31
4735,994,1,4,,2021-02-25 15:14:01
3814,1703,1,4,Mostly great. The middle section drags a bit.,2024-12-31 17:09:08
5470,2049,4,3,"Mixed feelings. Good premise, mediocre execution.",2021-09-17 07:54:48
1867,1413,1,4,Pleasant read. Nothing groundbreaking but definitely enjoyable.,2023-10-22 12:02:01
3421,1214,5,2,Would not recommend. Too slow and the payoff was not worth it.,2024-01-14 15:04:46
4842,1587,41,3,Average. Had its moments but failed to really engage me.,2024-01-14 17:43:09
5115,2613,20,5,,2023-11-14 14:29:38
4113,2679,2,4,,2023-12-02 19:07:14
3188,111,6,3,,2024-04-21 16:48:32
127,1081,1,5,Brilliant narrative. The characters feel genuinely real.,2024-12-08 19:44:30
753,2571,3,3,"Mixed feelings. Good premise, mediocre execution.",2023-07-21 11:04:03
5197,1231,3,3,"Some interesting parts, but overall felt underwhelming.",2021-11-09 14:23:41
3393,2749,4,4,Pleasant read. Nothing groundbreaking but definitely enjoyable.,2024-11-08 17:10:30
982,2458,6,3,It was okay. The hype around this book is a bit overstated.,2023-07-08 16:07:12
483,1240,2,4,Well-written and engaging. A few plot holes but forgivable.,2023-07-05 14:54:21
4118,806,1,3,Had potential but did not quite deliver on its promise.,2021-05-27 09:28:37
5091,642,2,4,Enjoyed it quite a bit. Solid writing and interesting ideas.,2024-08-26 15:40:27
2882,1964,1,5,,2024-03-02 19:38:15
601,1580,1,4,Liked it. The first half is stronger than the second.,2023-08-13 08:28:31
3384,2069,6,3,Had potential but did not quite deliver on its promise.,2024-06-02 06:49:34
1326,723,1,4,"Good book, though the ending felt a little rushed.",2022-10-11 15:50:56
1286,909,9,4,"Good book, though the ending felt a little rushed.",2024-10-20 13:03:12
2745,2267,15,3,Neither great nor terrible. Passes the time.,2024-01-21 17:42:42
4276,50,1,3,Average. Had its moments but failed to really engage me.,2024-06-14 08:23:57
4788,285,75,4,Mostly great. The middle section drags a bit.,2024-12-17 12:34:23
59,16,2,4,Above average. Would recommend to fans of the genre.,2022-09-22 22:49:27
797,1569,1,4,Liked it. The first half is stronger than the second.,2024-06-07 18:46:54
1188,2141,1,4,Above average. Would recommend to fans of the genre.,2024-10-25 13:06:46
794,2691,1,4,Enjoyed it quite a bit. Solid writing and interesting ideas.,2024-06-06 07:53:32
1583,1168,16,5,Beautifully written. The author's style is simply stunning.,2024-08-21 19:03:31
2122,2415,17,5,Perfect blend of story and insight. Will read again.,2023-09-21 20:08:44
460,1640,4,3,"Mixed feelings. Good premise, mediocre execution.",2021-06-13 07:53:32
1417,9,32,2,Would not recommend. Too slow and the payoff was not worth it.,2021-04-28 13:14:48
2620,1156,13,3,Average. Had its moments but failed to really engage me.,2022-07-30 11:28:09
3095,723,52,2,Disappointed. Expected much more based on the reviews.,2023-05-27 19:27:10
4738,657,1,3,Had potential but did not quite deliver on its promise.,2024-12-13 09:08:18
663,963,1,5,I finished this in two sittings. Absolutely riveting.,2023-03-29 19:55:07
4952,1490,20,5,,2021-12-20 20:25:57
5090,2236,1,4,Enjoyed it quite a bit. Solid writing and interesting ideas.,2024-10-08 03:52:35
5124,2348,2,3,,2024-05-19 13:58:41
1865,1493,1,5,Brilliant narrative. The characters feel genuinely real.,2022-11-26 10:01:21
2011,1128,10,3,Decent read. Not my favourite but not bad either.,2023-05-21 14:05:54
5607,1357,1,5,Absolutely loved this book — couldn't put it down!,2023-12-28 18:29:38
2202,2696,36,5,Beautifully written. The author's style is simply stunning.,2024-05-02 15:42:16
2836,2350,1,3,Had potential but did not quite deliver on its promise.,2024-06-08 09:27:28
2082,1432,22,4,,2023-11-02 12:49:42
1697,77,2,5,Beautifully written. The author's style is simply stunning.,2022-12-28 11:39:09
652,1039,12,3,Decent read. Not my favourite but not bad either.,2023-03-04 23:30:46
507,1237,1,3,Decent read. Not my favourite but not bad either.,2022-06-02 12:21:43
2160,1603,3,4,Enjoyed it quite a bit. Solid writing and interesting ideas.,2022-06-28 05:38:10
1896,2424,5,3,"Mixed feelings. Good premise, mediocre execution.",2024-12-12 22:18:34
4860,1756,8,2,Disappointed. Expected much more based on the reviews.,2023-05-17 10:35:54
3164,1424,1,3,Decent read. Not my favourite but not bad either.,2023-03-31 03:21:38
5410,355,6,3,It was okay. The hype around this book is a bit overstated.,2022-04-21 11:04:52
2001,1175,1,3,Decent read. Not my favourite but not bad either.,2024-12-31 08:37:15
1690,512,1,4,Mostly great. The middle section drags a bit.,2023-11-02 17:07:06
3849,1432,1,3,"Some interesting parts, but overall felt underwhelming.",2024-12-31 15:19:53
776,1566,11,4,Enjoyed it quite a bit. Solid writing and interesting ideas.,2023-11-04 19:12:37
3063,1247,2,4,A very good read overall. Some chapters were slow but worth it.,2022-01-17 18:41:41
3345,2588,1,3,Decent read. Not my favourite but not bad either.,2024-10-21 09:40:24
5551,1250,16,3,"Some interesting parts, but overall felt underwhelming.",2024-02-06 07:08:44
4540,1365,6,2,The plot felt disjointed and the pacing was off throughout.,2024-10-13 17:52:41
5472,1852,2,3,,2024-02-08 17:24:31
4890,1313,4,3,Average. Had its moments but failed to really engage me.,2023-03-21 03:09:19
2704,24,1,5,Beautifully written. The author's style is simply stunning.,2024-07-08 19:53:11
1485,1018,9,4,Enjoyed it quite a bit. Solid writing and interesting ideas.,2022-11-29 14:02:42
1185,1354,2,4,Enjoyed it quite a bit. Solid writing and interesting ideas.,2023-08-02 08:42:35
834,796,2,4,,2024-09-28 02:55:58
3339,2016,1,4,,2024-04-29 07:27:06
4944,2592,2,4,Well-written and engaging. A few plot holes but forgivable.,2023-10-26 20:40:15
3799,1345,109,5,The writing is exceptional and the story gripped me from page one.,2023-10-20 08:43:32
4167,262,4,2,Overrated. I did not enjoy the characters at all.,2023-09-14 20:49:37
2343,283,16,3,Neither great nor terrible. Passes the time.,2023-10-06 18:06:16
1236,2280,1,4,Pleasant read. Nothing groundbreaking but definitely enjoyable.,2024-08-20 13:17:38
5114,1919,5,4,Liked it. The first half is stronger than the second.,2021-08-14 12:14:50
471,2727,1,2,The plot felt disjointed and the pacing was off throughout.,2023-12-21 17:34:19
3404,354,18,4,Above average. Would recommend to fans of the genre.,2024-12-09 21:27:10
3772,1420,1,4,Mostly great. The middle section drags a bit.,2024-04-28 14:22:40
3904,2767,9,3,Decent read. Not my favourite but not bad either.,2024-06-24 10:45:29
728,481,40,5,This book changed the way I think. A must-read for everyone.,2024-01-02 14:58:06
4558,1981,39,4,,2021-02-28 21:56:19
576,1708,1,3,It was okay. The hype around this book is a bit overstated.,2020-09-03 11:34:49
375,2616,4,3,Decent read. Not my favourite but not bad either.,2024-11-26 10:18:57
5568,2126,10,4,Above average. Would recommend to fans of the genre.,2023-11-23 09:52:00
536,1696,2,3,Decent read. Not my favourite but not bad either.,2024-11-04 07:51:05
642,2324,1,3,Decent read. Not my favourite but not bad either.,2021-01-12 20:42:19
4587,2589,1,3,Average. Had its moments but failed to really engage me.,2024-10-24 14:01:56
2351,2400,2,3,"Mixed feelings. Good premise, mediocre execution.",2024-10-29 07:00:14
210,2390,2,4,A very good read overall. Some chapters were slow but worth it.,2024-02-06 09:51:11
5484,1705,81,3,It was okay. The hype around this book is a bit overstated.,2022-06-08 16:36:06
63,2644,2,6,Above average. Would recommend to fans of the genre.,2022-01-13 19:09:55
4515,2219,3,3,It was okay. The hype around this book is a bit overstated.,2022-10-27 12:36:27
2969,1744,2,4,Well-written and engaging. A few plot holes but forgivable.,2020-05-09 15:24:59
3785,615,1,3,"Mixed feelings. Good premise, mediocre execution.",2024-06-30 19:17:30
1949,2703,2,4,"Good book, though the ending felt a little rushed.",2024-07-01 07:33:03
1863,2400,35,4,Mostly great. The middle section drags a bit.,2023-06-18 08:13:11
841,861,1,4,Mostly great. The middle section drags a bit.,2024-12-31 11:23:47
4384,1754,6,4,Liked it. The first half is stronger than the second.,2024-11-16 20:09:21
3078,2078,1,5,One of the best reads I have had in years. Highly recommended.,2022-09-11 08:30:14
2391,1328,1,4,Pleasant read. Nothing groundbreaking but definitely enjoyable.,2024-12-28 08:30:32
2208,312,1,5,,2021-12-17 09:06:46
5061,764,23,3,It was okay. The hype around this book is a bit overstated.,2021-12-29 06:53:20
5233,629,7,5,Perfect blend of story and insight. Will read again.,2023-10-20 17:57:23
1703,1546,2,4,Enjoyed it quite a bit. Solid writing and interesting ideas.,2023-06-15 17:31:38
2695,1246,1,4,Pleasant read. Nothing groundbreaking but definitely enjoyable.,2020-12-19 17:00:38
2929,479,4,4,Mostly great. The middle section drags a bit.,2024-11-23 20:34:42
2633,297,1,3,Average. Had its moments but failed to really engage me.,2022-04-01 19:06:51
585,736,1,3,It was okay. The hype around this book is a bit overstated.,2024-03-23 20:36:59
3283,245,2,4,Well-written and engaging. A few plot holes but forgivable.,2024-09-25 19:13:16
2762,1956,28,2,Would not recommend. Too slow and the payoff was not worth it.,2024-07-03 16:24:15
4620,2235,2,4,A very good read overall. Some chapters were slow but worth it.,2024-06-07 10:16:28
5576,731,1,3,Decent read. Not my favourite but not bad either.,2022-06-16 15:06:52
4094,2079,1,3,Decent read. Not my favourite but not bad either.,2024-08-19 12:58:56
2934,545,7,5,A masterpiece. Every chapter left me wanting more.,2022-05-31 20:31:39
4480,1306,3,2,Overrated. I did not enjoy the characters at all.,2024-06-19 07:23:26
3433,899,7,4,Above average. Would recommend to fans of the genre.,2024-09-09 16:27:30
2596,82,6,2,,2022-09-30 17:54:24
4550,1808,2,4,Well-written and engaging. A few plot holes but forgivable.,2021-12-26 14:08:48
5604,18,16,5,Exceeded all my expectations. Truly extraordinary.,2023-12-05 22:17:20
1739,719,13,3,Average. Had its moments but failed to really engage me.,2024-01-15 16:13:54
4246,1341,13,4,Above average. Would recommend to fans of the genre.,2021-06-08 05:51:04
4601,1842,27,3,Decent read. Not my favourite but not bad either.,2024-03-28 11:02:51
4628,2651,1,5,One of the best reads I have had in years. Highly recommended.,2024-12-31 10:43:23
1013,2131,1,5,Exceeded all my expectations. Truly extraordinary.,2023-07-23 13:02:28
2330,108,4,3,Decent read. Not my favourite but not bad either.,2023-02-01 08:21:47
1729,1935,3,3,"Some interesting parts, but overall felt underwhelming.",2021-09-18 18:17:31
226,796,19,3,Average. Had its moments but failed to really engage me.,2024-12-31 07:59:44
3549,437,4,3,Neither great nor terrible. Passes the time.,2024-02-12 18:59:01
780,2267,1,2,The plot felt disjointed and the pacing was off throughout.,2024-10-18 09:23:30
1347,2089,3,4,Enjoyed it quite a bit. Solid writing and interesting ideas.,2022-01-06 20:28:42
2621,1737,1,4,Mostly great. The middle section drags a bit.,2021-09-26 00:00:38
80,2016,23,1,One of the worst books I have read. No coherent plot.,2020-03-13 17:33:00
2937,1324,3,3,,2022-01-31 08:31:50
54,627,1,3,Average. Had its moments but failed to really engage me.,2021-02-08 16:27:36
